Active Dry Yeast,Dry Oz,4.00,7.19,,Tsp,36.00
Alfredo Sauce,Cup,4.00,8.44,Homemade,,
All-Purpose Flour,Lb,2.00,4.49,9.00,Cup,6.66
Almond Butter,Oz,16.00,7.47,27.00,Tbsp,30.00
Almond Milk,Oz,96.00,3.99,3.00,Cup,12.00
American Cheese,Lb,1.00,6.25,Deli,Slice,16.00
Anaheim Pepper,Each,1.00,0.87,Produce,Lb,0.25
Anchovies,Dry Oz,2.00,2.29,,Each,24.00
Apple Butter,Oz,17.00,2.69,27.00,,
Apple Cider Vinegar,Oz,32.00,5.29,,,
Apple Juice,Oz,52.00,3.99,3 or 5,,
Arborio Rice,Cup,4.60,8.49,,Dry oz,32.00
Artichoke,Each,1.00,2.50,,,
Artichoke Hearts,Dry Oz,14.00,4.24,,Cup,2.00
Asiago Cheese,Dry Oz,10.00,5.66,Deli,Cup,2.50
Asparagus,Lb,1.00,3.79,Produce,,
Avocado,Each,1.00,1.66,Produce,,
Baby Corn,Dry Oz,15.00,2.59,,,
Baby Spinach,Dry Oz,6.00,1.99,Produce,,
Bacon,Dry Oz,16.00,6.66,Breakfast,Strip,16.00
Baked Baking Soda,Dry Oz,21.62,3.17,Homemade,Cup,2.66
Baking Powder,Dry Oz,8.10,2.34,Baking,Tbsp,15.96
Baking Soda,Dry Oz,16.00,0.79,Baking,Tbsp,15.96
Bananas,Lb,1.00,0.59,Produce,Each,3.00
Bay Leaf,Dry Oz,0.20,0.99,Spices,Each,25.00
Bean Sprouts,Dry Oz,14.00,1.99,,Cup,2.00
Beef Bouillon,Each,25.00,1.59,,,
Beef Chuck Roast,Lb,1.00,7.99,Meat,,
Beef Short Ribs,Lb,1.00,8.99,Meat,,
Beef Stock,Cup,2.00,0.95,Soup,,
Beef Tenderloin,Lb,2.00,22.99,Meat,,
Beer,Oz,12.00,1.75,Alcohol,,
Biscuits,Each,1.00,1.99,,,
Bittersweet Chocolate,Dry Oz,4.00,3.19,,,
Black Olives,Dry Oz,6.00,2.19,11.00,,
Bok Choy,Lb,1.00,1.99,Produce,Leaf,16.00
Bread,Each,1.00,2.83,27.00,Slice,16.00
Bread Flour,Lb,5.00,6.19,Baking,Cup,20.00
Breadcrumbs,Dry Oz,15.00,1.79,,Cup,3.75
Broccoli,Lb,1.00,1.99,Produce,Each,2.60
Brown Gravy Mix,Each,1.00,1.09,,,
Brown Mushrooms,Lb,1.00,3.99,Produce,,
Brown Mustard,Oz,12.00,2.49,,,
Brown Sugar,Dry Oz,16.00,1.49,Baking,Tbsp,36.32
Brussel Sprouts,Lb,1.00,4.99,Produce,,
Bulgur,Cup,5.67,4.99,,Dry Oz,28.00
Burgundy Red Wine,Each,1.00,10.00,,Cup,3.00
Burrata,Dry Oz,8.00,8.99,Deli,Each,4.00
Burrito Tortilla,Each,10.00,2.50,,,
Butter,Lb,1.00,2.49,3.00,Tbsp,32.00
Buttercream,Each,1.00,0.00,Hoemmade,,
Buttermilk,Gal,0.25,1.89,3.00,,
Butternut Squash,Lb,2.50,4.29,Produce,Each,1.00
Cabbage,Lb,1.00,0.79,Produce,Each,0.50
Cake Flour,Lb,2.00,3.59,9.00,Cup,9.00
Canola Oil,Oz,48.00,3.19,Baking,,
Capers,Dry Oz,3.00,2.99,,Tbsp,3.00
Caraway Seed,Dry Oz,1.62,6.29,Spices,Tbsp,4.86
Carrot,Lb,2.00,1.79,Produce,Each,5.00
Cauliflower,Lb,1.00,3.99,Produce,Each,1.00
Cayenne Pepper,Dry Oz,2.89,5.49,Spices,Tbsp,11.56
Celery,Each,1.00,1.99,Produce,Rib,8.00
Celery Seed,Dry Oz,1.62,5.89,Spices,Tbsp,6.75
Cereal,Each,1.00,3.29,7.00,,
Cheddar,Dry Oz,8.00,2.29,3.00,Cup,2.00
Cherry Tomato,Dry Oz,10.00,3.99,Produce,,
Chicken Bone Broth,Oz,32.00,3.15,Soup,Cup,4.00
Chicken Breast,Lb,1.00,3.75,Meat,Each,2.50
Chicken Stock,Cup,4.00,1.79,Soup,,
Chicken Thigh,Lb,3.25,12.32,Meat,Each,10.00
Chicken Thigh Skin-on,Lb,1.00,1.99,Meat,Each,3.00
Chili Paste,Oz,8.00,2.89,,,
Chili Powder,Dry Oz,2.50,2.29,Spices,Tbsp,8.85
Chinese Egg Noodles,Dry Oz,10.00,1.68,Homemade,,
Chinese Five Spice,Cup,0.25,3.30,Homemade,,
Chinkiang Vinegar,Oz,16.90,3.99,,,
Chip Steak,Each,14.00,8.99,,,
Chipotle Chiles,Oz,7.00,1.49,,,
Chipotle Powder,Dry Oz,2.00,8.38,Spices,Tbsp,6.66
Chips,Each,1.00,3.17,19.00,,
Chives,Dry Oz,0.50,1.99,Produce,Tbsp,5.00
Chorizo,Lb,1.00,3.99,Breakfast,,
Ciabatta Loaf,Each,1.00,1.99,Bakery,Dry Oz,8.00
Cipollini Onions,Dry Oz,8.00,2.99,Produce,,
Clam Juice,Each,1.00,2.29,,,
Clams,Each,1.00,2.39,,,
Cocoa Powder,Cup,1.92,3.19,,Dry Oz,8.00
Coconut Milk,Oz,13.50,1.99,,,
Coconut Oil,Oz,14.00,6.99,,,
Cod Fillet,Lb,0.88,7.19,Meat,Each,2.00
Cognac,Oz,12.68,19.99,Liquor,Cup,1.60
Confectioners Sugar,Lb,32.00,2.69,,Cup,9.00
Corn Tortilla,Each,30.00,2.15,,,
Corned Beef Brisket,Lb,1.00,4.87,Meat,,
Cornflour,Lb,4.84,2.99,,Cup,14.62
Cornmeal,Lb,2.00,1.69,,Cup,5.67
Cornstarch,Dry Oz,16.00,2.09,Baking,Cup,3.54
Cream Cheese,Oz,8.00,2.84,3.00,,
Creole Seasoning,Tbsp,10.00,4.05,Homemade,,
Crimini Mushrooms,Lb,1.00,3.99,Produce,,
Crushed Tomatoes,Oz,15.00,1.00,14.00,,
Cube Steak,Lb,0.50,3.50,Meat,Each,2.00
Cucumber,Each,1.00,1.99,Produce,,
Cumin Seeds,Dry Oz,1.37,6.49,Spices,Tsp,13.50
Curly Parsley,Each,1.00,1.29,Produce,Tbsp,8.00
Dark Rum,Oz,12.68,8.99,,,
Dark Soy Sauce,Oz,16.90,4.99,,,
Dashi Powder,Dry Oz,1.48,5.20,,Tbsp,2.64
Deli Ham,Lb,1.00,8.99,Deli,,
Deli Turkey,Lb,1.00,7.76,Deli,,
Diced Tomatoes,Oz,14.50,0.80,14.00,,
Diet Tonic,Each,12.00,3.69,5.00,,
Dijon Mustard,Oz,12.00,2.54,,,
Dill Pickle Slices,Dry Oz,16.00,2.29,,Each,20.00
Dillweed,Dry Oz,0.60,4.09,10.00,Tsp,17.00
Dried Cranberries,Dry Oz,9.50,3.00,,Cup,2.10
Dried Red Chili Peppers,Dry Oz,6.00,3.96,10.00,Each,20.00
Dry Basil,Dry Oz,0.55,6.19,10.00,Tbsp,5.00
Dry Chive,Dry Oz,0.25,4.49,10.00,Tbsp,35.44
Dry Garlic,Dry Oz,3.00,7.49,10.00,Tbsp,5.80
Dry Marjoram,Dry Oz,0.20,4.19,10.00,Tbsp,1.20
Dry Mustard,Dry Oz,1.75,4.19,10.00,Tbsp,7.00
Dry Onion,Dry Oz,2.00,2.99,10.00,Tbsp,5.80
Dry Parsley,Dry Oz,0.50,2.59,10.00,Tbsp,8.00
Dry Rosemary,Dry Oz,1.00,6.19,10.00,Tbsp,8.30
Dry Sage,Dry Oz,0.75,6.79,10.00,Tbsp,8.00
Dry Sherry,Oz,16.00,4.79,Spices,,
Dry Thyme,Dry Oz,0.50,0.99,10.00,Tsp,14.18
Egg,Each,12.00,1.99,3.00,,
Egg Noodles,Dry Oz,8.00,2.39,14.00,,
Enchilada Sauce,Cup,3.00,2.30,Homemade,,
Evaporated Milk,Oz,12.00,1.00,,,
Everything Bagel Blend,Cup,1.00,11.97,Homemade,,
Fajita Blend,Tbsp,4.50,1.10,Homemade,,
Fennel,Each,1.00,2.99,Produce,,
Fennel Seeds,Dry Oz,0.85,3.39,10.00,Tbsp,2.55
Fettuccine,Lb,1.00,1.40,14.00,,
Filo Pastry,Each,2.00,4.99,Frozen,Sheet,40.00
Fire Roasted Tomatoes,Oz,14.50,1.49,,,
Firm Tofu,Dry Oz,14.00,2.99,,Cup,1.60
Fish Sauce,Oz,7.00,3.69,11.00,,
Flank Steak,Lb,1.50,16.49,Meat,,
Flat-Leaf Parsley,Each,1.00,1.29,Produce,Tbsp,8.00
Flour Tortilla,Each,20.00,5.69,,,
Fontina Cheese,Dry Oz,9.00,8.99,Deli,Cup,2.25
Frank Hot Sauce,Oz,5.00,2.29,,,
French Fried Onions,Dry Oz,6.00,3.99,,,
French Fries,Each,1.00,2.85,29.00,,
French Loaf,Each,1.00,1.99,Bakery,Dry Oz,12.00
French Onion Soup,Oz,18.50,2.99,,Each,1.00
Fresh Basil,Each,1.00,3.29,Produce,Tbsp,16.00
Fresh Dill,Each,1.00,1.99,Produce,Tbsp,4.00
Fresh Mint,Dry Oz,0.50,1.99,Produce,Tbsp,8.00
Fresh Ramen,Each,4.00,1.08,Homemade,,
Fresh Sage,Each,1.00,1.99,Produce,Tbsp,4.00
Fresh Thyme,Each,1.00,1.99,Produce,Tbsp,4.00
Fresh Udon,Each,2.00,0.87,Homemade,,
Fried Chicken,Each,1.00,8.99,Deli,,
Frozen Spinach,Dry Oz,10.00,1.09,29.00,,
Fuji Apple,Each,1.00,1.05,Produce,,
Fusilli,Dry Oz,16.00,2.49,14.00,,
Gala Apple,Each,1.00,1.07,Produce,,
Garam Masala,Cup,0.25,1.89,Homemade,,
Garbanzo Beans,Dry Oz,7.75,0.99,,,
Garlic,Each,1.00,0.59,Produce,Clove,10.00
Garlic Powder,Dry Oz,3.12,4.88,Spices,Tbsp,9.36
Ghee,Oz,12.00,12.99,,,
Ginger,Each,1.00,0.74,Produce,Tbsp,1.10
Ginger Paste,Oz,4.00,4.49,Produce,,
Glass Noodles,Dry Oz,16.00,2.59,,,
Gnocchi,Lb,1.00,7.01,Homemade,,
Goat Cheese,Dry Oz,4.00,3.99,Deli,Cup,1.00
Gochujang,Lb,1.10,5.99,,Cup,1.75
Gold Potato,Lb,1.00,1.29,Produce,Each,2.00
Granny Smith,Each,1.00,1.03,Produce,,
Granulated Sugar,Dry Oz,64.00,2.47,Baking,Tbsp,128.00
Grape Jelly,Oz,30.00,2.99,27.00,,
Green Beans,Lb,1.00,2.49,Produce,,
Green Bell Pepper,Each,1.00,0.88,Produce,,
Green Chiles,Dry Oz,7.00,1.99,,,
Green Olives,Dry Oz,6.00,3.49,,Cup,1.33
Green Onion,Each,8.00,0.99,Produce,Tbsp,24.00
Ground Allspice,Dry Oz,0.90,5.39,Spices,Tbsp,4.25
Ground Beef,Lb,1.00,6.69,Meat,,
Ground Cardamom,Dry Oz,1.75,11.49,Spices,Tbsp,8.75
Ground Chicken,Lb,1.00,4.29,Meat,,
Ground Cinnamon,Dry Oz,2.37,2.39,Spices,Tbsp,7.11
Ground Cloves,Dry Oz,1.75,11.19,Spices,Tbsp,7.00
Ground Coriander,Dry Oz,1.25,6.49,Spices,Tbsp,5.00
Ground Cumin,Dry Oz,7.00,3.19,Spices,Tbsp,28.00
Ground Ginger,Dry Oz,1.60,4.09,Spices,Tbsp,6.40
Ground Italian Sausage,Lb,1.00,3.89,Meat,,
Ground Nutmeg,Dry Oz,2.00,2.29,Spices,Tbsp,6.00
Ground Pork,Lb,1.20,4.99,Meat,,
Ground Turkey,Lb,3.00,9.99,Meat,,
Gruyere Cheese,Dry Oz,7.00,6.49,Deli,Cup,1.57
Gyoza Wrappers,Each,40.00,1.36,Homemade,,
Haddock Fillet,Lb,2.00,11.99,Frozen,Each,8.00
Half-and-Half,Gal,0.25,1.89,3.00,,
Hamburger,Each,4.00,8.09,Meat,,
Hamburger Bun,Each,8.00,2.25,27.00,,
Heavy Cream,Oz,8.00,1.89,3.00,,
Hoisin,Oz,9.30,4.59,,,
Honey,Oz,16.00,5.69,,,
Horseradish,Oz,6.50,1.79,,,
Hot Dog,Each,8.00,5.99,Meat,,
Hot Dog Bun,Each,8.00,2.99,27.00,,
Italian Loaf,Each,1.00,1.99,Bakery,,
Italian Sausage,Each,5.00,4.99,Meat,,
Italian Seasoning,Dry Oz,1.25,2.89,Spices,Tbsp,5.00
Jalapeno Chile,Each,1.00,0.19,Produce,,
Japanese Curry Roux,Each,1.00,1.16,Homemade,,
Jerk Seasoning,Cup,0.50,3.03,Homemade,,
Kale,Lb,1.00,1.49,Produce,Leaf,10.00
Ketchup,Oz,20.00,1.69,,,
Kielbasa Polska,Dry Oz,14.00,3.99,Breakfast,Each,1.00
Kombu,Dry Oz,5.29,4.99,,Each,10.00
Kosher Salt,Lb,3.00,2.89,Spices,Cup,4.71
Leek,Each,2.00,2.99,Produce,,
Lemon,Each,1.00,0.79,Produce,,
Lemon Juice,Oz,15.00,2.89,5.00,,
Lemongrass,Each,2.00,1.99,Produce,,
Lemongrass Paste,Oz,4.00,4.49,Produce,,
Lentils,Dry Oz,27.00,4.38,,Cup,3.83
Lettuce,Each,1.00,1.49,Produce,Lb,1.75
Light Soy Sauce,Oz,15.00,3.29,,,
Lime,Each,1.00,0.50,Produce,,
Lime Juice,Oz,15.00,2.89,5.00,,
Lump Crab Meat,Dry Oz,6.00,6.49,,Each,1.00
Macaroni,Lb,1.00,1.49,14.00,,
Mandarin,Each,12.00,5.99,Produce,Lb,3.00
Mango,Each,1.00,0.88,Produce,,
Maple Syrup,Oz,12.50,9.99,,,
Mashed Potato,Each,1.00,1.25,14.00,,
Mayonnaise,Oz,30.00,3.49,,,
Medjool Dates,Dry Oz,12.00,7.49,,Each,14.00
Milk,Gal,0.50,2.39,3.00,,
Mini Rolls,Each,12.00,2.99,Bread,,
Mini Sweet Peppers,Each,30.00,4.99,Produce,,
Mirin,Oz,10.00,4.99,,,
Monterey Cheese,Dry Oz,8.00,3.39,3.00,Cup,2.00
Mountain Dew,12pk,12.00,3.66,6.00,,
Mozzarella,Dry Oz,16.00,5.99,Deli,Cup,2.66
Napa Cabbage,Lb,2.50,3.73,Produce,Leaf,30.00
Neufchatel Cheese,Oz,8.00,1.89,3.00,,
Noodles,Each,6.00,1.69,,,
Old Bay,Dry Oz,2.00,3.49,10.00,Tbsp,8.00
Olive Oil,Oz,72.00,12.39,11.00,,
Onion Powder,Dry Oz,2.62,3.59,10.00,Tbsp,7.86
Orange,Each,1.00,0.88,Produce,,
Orange Juice,Oz,52.00,3.00,3.00,,
Oregano,Dry Oz,2.25,2.49,10.00,Tbsp,18.00
Orzo,Dry Oz,16.00,1.61,14.00,Cup,2.00
Oyster Sauce,Oz,9.00,2.99,,,
Pancake Mix,Each,1.00,2.00,,,
Panko,Dry Oz,8.00,1.99,,Cup,2.70
Paprika,Dry Oz,4.00,4.99,10.00,Tbsp,16.00
Parmesan Cheese,Dry Oz,8.00,4.99,Deli,Cup,2.00
Parsnip,Lb,1.00,2.49,Produce,Each,5.00
Pasta-Roni,Each,1.00,1.00,,,
Pastry Flour,Lb,3.00,8.95,10.00,Cup,12.75
Peanut Oil,Oz,32.00,7.69,,,
Peanuts,Dry Oz,16.00,2.19,,Cup,3.10
Pearl Barley,Dry Oz,16.00,1.99,7.00,Cup,2.25
Pearl Onion,Dry Oz,14.40,2.19,29.00,,
Peppercorns,Dry Oz,3.50,5.99,10.00,Tbsp,10.50
Pepperoni,Lb,1.00,10.99,Deli,Slice,16.00
Pickled Ginger,Dry Oz,6.00,3.99,11.00,Tbsp,10.00
Pierogi,Each,1.00,2.99,29.00,,
Pimientos,Oz,4.00,2.09,,,
Pitted Prune,Dry Oz,18.00,5.99,,Cup,2.88
Pizza,Each,1.00,5.38,28.00,,
Pizza Dough,Each,1.00,3.00,,,
Pizza Sauce,Oz,14.00,2.19,,,
Plain Bagel,Each,6.00,2.97,27.00,,
Poblano Chile,Each,1.00,0.34,Produce,,
Poppy Seed,Dry Oz,1.00,3.99,Spices,Tbsp,3.13
Pork Chop,Each,12.00,14.97,Meat,,
Pork Shoulder,Lb,6.00,17.94,Meat,,
Pork Tenderloin,Lb,2.50,14.98,Meat,Each,1.00
Poultry Seasoning,Tsp,6.25,2.05,Homemade,,
Provolone Cheese,Dry Oz,8.00,5.75,Deli,Cup,2.00
Provolone Cheese Slice,Dry Oz,8.00,5.75,Deli,Each,8.00
Puff Pastry,Each,2.00,4.49,Frozen,Dry Oz,17.65
Queso Dip,Cup,1.50,2.32,Homemade,,
Queso Fresco,Dry Oz,10.00,2.99,3.00,Cup,1.66
Red Bell Pepper,Each,1.00,1.66,Produce,,
Red Curry Paste,Oz,4.00,4.29,,,
Red Curry Powder,Dry Oz,1.37,6.19,Spices,Tbsp,4.00
Red Lentil,Cup,2.50,1.99,,Lb,1.00
Red Onion,Each,1.00,0.78,Produce,,
Red Pepper Flakes,Dry Oz,0.50,0.99,Spices,Tbsp,2.50
Red Potato,Lb,1.00,1.29,Produce,Each,2.00
Red Wine,Each,1.00,9.82,,Cup,3.00
Red Wine Vinegar,Oz,16.00,1.99,,,
Rice,Lb,5.00,7.74,,Cup,11.50
Rice Noodles,Dry Oz,16.00,2.59,,,
Rice Vinegar,Oz,12.00,3.39,,,
Rice Wine Vinegar,Oz,12.00,2.50,,,
Rice-A-Roni,Each,1.00,1.00,,,
Ricotta Cheese,Oz,15.00,2.99,3.00,,
Roasted Red Peppers,Dry Oz,24.00,3.19,,Cup,2.13
Roma Tomato,Each,1.00,0.43,Produce,Oz,3.50
Romaine Heart,Each,3.00,3.49,Produce,,
Russet Potato,Lb,1.00,0.88,Produce,Each,0.80
Saffron,Dry Oz,0.01,3.49,Spices,Tbsp,0.14
Sake,Oz,24.33,18.79,Alcohol,,
Salami,Lb,1.00,3.50,Deli,Slice,30.00
Salmon Fillet,Lb,1.00,7.99,Meat,Each,1.33
Salsa,Oz,16.00,2.89,,,
Salsa Verde,Oz,16.00,2.94,,,
Sauerkraut,Dry Oz,14.50,1.29,,Cup,2.90
Sausage,Each,5.00,3.79,Meat,,
Scallion,Each,6.00,0.99,Produce,Tbsp,18.00
Sea Salt,Dry Oz,16.50,4.59,Spices,Tbsp,26.00
Sesame Oil,Oz,5.00,4.69,,,
Sesame Seed,Dry Oz,3.75,3.29,Spices,Tbsp,12.00
Shallot,Lb,1.00,2.99,Produce,Each,4.00
Shaoxing,Oz,16.90,4.99,,,
Shiitake Mushroom,Dry Oz,3.50,3.99,Produce,,
Shortening,Oz,16.00,3.49,Baking,,
Shredded Cheddar,Dry Oz,8.00,2.59,3.00,Cup,1.00
Shredded Mozzarella,Dry Oz,16.00,4.38,3.00,Cup,4.00
Shredded Parmesan,Dry Oz,6.00,2.49,3.00,Cup,1.50
Shredded Taco Seasoning,Each,1.00,3.51,Homemade,,
Shredded Turkey Meat,Lb,5.00,18.10,Meat,,
Shrimp,Lb,1.00,6.99,Meat,,
Sichuan Peppercorn Powder,Dry Oz,4.00,9.99,,Tbsp,32.00
Sirloin,Lb,1.50,17.99,Meat,Each,1.00
Smoked Paprika,Dry Oz,2.00,8.49,Spices,Tbsp,8.34
Soba Noodles,Dry Oz,9.50,2.39,,,
Sour Cream,Oz,8.00,1.29,3.00,,
Sourdough Loaf,Each,1.00,3.99,Bakery,,
Soy Sauce,Oz,15.00,3.29,,,
Spaghetti,Each,1.00,1.94,14.00,Lb,1.00
Spinach,Dry Oz,8.00,2.26,Produce,,
Spring Roll,Each,8.00,8.48,Homemade,,
Spring Roll Wrapper,Each,20.00,2.99,,,
Sriracha,Oz,17.00,3.99,,,
Star Anise,Dry Oz,0.50,1.19,Spices,Each,6.00
Steak,Lb,1.00,10.99,Meat,Each,0.66
Stir Fry Sauce,Cup,1.50,4.08,Homemade,,
String Cheese,Each,12.00,4.99,3.00,,
Sub Roll,Each,6.00,3.99,27.00,,
Sunflower Seeds,Dry Oz,9.50,2.99,,Cup,2.10
Sweet Chili Sauce,Oz,12.00,2.29,,,
Sweet Potato,Each,1.00,0.70,Produce,Lb,0.80
Swiss Chard,Each,1.00,3.99,Produce,,
Swiss Cheese,Lb,1.00,8.99,Deli,,
Taco Seasoning,Tbsp,8.00,0.50,Homemade,,
Taco Shell,Each,10.00,1.99,,,
Tamarind Paste,Oz,8.00,12.99,,,
Teriyaki Sauce,Tbsp,6.00,3.61,Homemade,,
Thai Basil,Dry Oz,0.50,1.98,Produce,Cup,0.70
Thai Red Chili,Lb,0.25,1.25,Produce,Each,50.00
Tilapia Fillet,Lb,0.75,5.99,Meat,Each,1.00
Tissues,Each,1.00,1.12,26.00,,
Toilet Paper,Pk,1.00,8.99,26.00,,
Tomatillo,Each,1.00,0.37,Produce,Lb,0.06
Tomato,Each,1.00,1.79,Produce,Lb,0.50
Tomato Paste,Oz,6.00,1.01,14.00,,
Tomato Sauce,Each,1.00,2.66,14.00,,
Tortellini,Dry Oz,12.00,4.79,14.00,,
Turkey Sausage,Dry Oz,13.00,1.75,Breakfast,Each,2.00
Turmeric,Dry Oz,1.37,6.19,Spices,Tbsp,4.80
Udon Noodles,Dry Oz,10.00,2.39,,,
Unsalted Butter,Lb,1.00,2.49,3.00,Tbsp,32.00
Vanilla Extract,Oz,2.00,7.99,,,
Vegetable Oil,Oz,48.00,4.59,11.00,,
Vegetable Stock,Oz,32.00,2.29,Soup,Cup,4.00
Veggie Burger,Each,2.00,5.39,Meat,,
Veggie Mix,Each,1.00,1.79,29.00,,
Veggie Sausage,Each,4.00,8.99,Meat,,
Velveeta,Dry Oz,16.00,5.99,,Cup,2.66
Vermicelli,Dry Oz,16.00,3.19,,,
Vidalia Onion,Each,1.00,1.01,Produce,,
Vital Wheat Gluten,Dry Oz,16.00,8.95,,Cup,3.80
Waffle Mix,Each,1.00,1.00,,,
White Cheddar,Dry Oz,8.00,3.49,3.00,Cup,2.00
White Onion,Each,1.00,1.17,Produce,,
White Pepper,Dry Oz,1.75,7.19,Spices,Tbsp,7.00
White Vinegar,Oz,64.00,2.19,,,
White Wine,Each,1.00,10.00,Alcohol,Cup,3.00
Whole Bean Coffee,Dry Oz,14.00,7.99,,,
Whole Chicken,Lb,4.50,6.71,Meat,Each,20.00
Whole Cloves,Dry Oz,1.25,2.59,Spices,Each,16.00
Whole Grain Mustard,Oz,7.40,4.49,,,
Whole Green Chiles,Dry Oz,27.00,4.59,,,
Whole Milk,Gal,0.50,2.69,3.00,,
Whole Wheat Flour,Lb,5.00,5.69,9.00,Cup,16.65
Wild Rice,Dry Oz,16.00,4.29,9.00,Cup,2.25
Wonton Wrappers,Each,50.00,2.99,,Dry Oz,14.00
Worcestershire Sauce,Oz,15.00,3.39,,,
Yakisoba Sauce,Cup,0.50,0.81,Homemade,,
Yellow Bell Pepper,Each,1.00,1.78,Produce,,
Yellow Curry Powder,Dry Oz,2.00,1.99,Spices,Tbsp,8.00
Yellow Onion,Lb,1.00,0.88,Produce,Each,2.33
Yellow Turnip,Each,1.00,0.82,Produce,Lb,1.00
Yogurt,Oz,32.00,2.19,3.00,,
Zucchini,Each,1.00,1.12,Produce,,